split,split2,split3,split4,split5,split6,split7,split8
Japan,Cocaine-type,Coca leaf,0.01,Kilogram,ARQ,,
Japan,Cocaine-type,Cocaine salts,6.85,Kilogram,ARQ,,
Macao, China,Cocaine-type,Cocaine salts,1,168.05,Gram,ARQ,,
Philippines,Cocaine-type,Cocaine salts,15.4,Kilogram,ARQ,,
Republic of Korea,Cocaine-type,Non-specified cocaine,0.06,Kilogram,ARQ,,
Iran (Islamic Republic of),Cocaine-type,Cocaine salts,0.4,Kilogram,ARQ,,
Israel,Cocaine-type,Cocaine salts,171,Kilogram,ARQ,,
Jordan,Cocaine-type,Cocaine salts,16.04,Kilogram,ARQ,,
Lebanon,Cocaine-type,Cocaine salts,27.37,Kilogram,ARQ,,
Saudi Arabia,Cocaine-type,Cocaine salts,4.44,Kilogram,ARQ,,
Saudi Arabia,Cocaine-type,Crack,906.2,Gram,ARQ,,
State of Palestine,Cocaine-type,Cocaine salts,125,Gram,ARQ,,
State of Palestine,Cocaine-type,Other coca/cocaine type,24,Millilitre,ARQ,,
Syrian Arab Republic,Cocaine-type,Cocaine salts,66,Kilogram,ARQ,,
United Arab Emirates,Cocaine-type,Cocaine salts,204,Kilogram,HONSUB,,
Yemen,Cocaine-type,Cocaine salts,16,Kilogram,ARQ,,
India,Cocaine-type,Cocaine salts,44,Kilogram,HONLAP,,
Sri Lanka,Cocaine-type,Cocaine salts,7.52,Kilogram,ARQ,,
Belarus,Cocaine-type,Cocaine salts,1.4,Kilogram,ARQ,,
Republic of Moldova,Cocaine-type,Cocaine salts,115,Gram,ARQ,,
Russian Federation,Cocaine-type,Coca leaf,1.63,Kilogram,ARQ,,
Russian Federation,Cocaine-type,Cocaine salts,67.9,Kilogram,ARQ,,
Ukraine,Cocaine-type,Cocaine salts,43.59,Kilogram,ARQ,,
Albania,Cocaine-type,Cocaine salts,4.06,Kilogram,ARQ,,
Bosnia and Herzegovina,Cocaine-type,Cocaine salts,129.53,Gram,ARQ,,
Bulgaria,Cocaine-type,Cocaine salts,80.77,Kilogram,ARQ,,
Croatia,Cocaine-type,Cocaine salts,5.63,Kilogram,ARQ,,
Kosovo/Serbia,Cocaine-type,Cocaine salts,7.2,Kilogram,INCSR,,
Montenegro,Cocaine-type,Cocaine salts,0.4,Kilogram,INCSR,,
Romania,Cocaine-type,Coca leaf,0.36,Kilogram,ARQ,,
Romania,Cocaine-type,Cocaine salts,54.7,Kilogram,ARQ,,
Serbia,Cocaine-type,Cocaine salts,3,799,Gram,ARQ,,
Turkey,Cocaine-type,Cocaine salts,475.86,Kilogram,ARQ,,
Andorra,Cocaine-type,Cocaine salts,342.3,Gram,ARQ,,
Austria,Cocaine-type,Cocaine salts,64.64,Kilogram,ARQ,,
Belgium,Cocaine-type,Cocaine salts,19,177.98,Kilogram,ARQ,,
Cyprus,Cocaine-type,Cocaine salts,7.01,Kilogram,ARQ,,
Czech Republic,Cocaine-type,Coca leaf,137.8,Gram,ARQ,,
Czech Republic,Cocaine-type,Cocaine salts,8.05,Kilogram,ARQ,,
Estonia,Cocaine-type,Cocaine salts,3.37,Kilogram,ARQ,,
Finland,Cocaine-type,Cocaine salts,25.7,Kilogram,ARQ,,
France,Cocaine-type,Cocaine salts,5,602,Kilogram,ARQ,,
France,Cocaine-type,Crack,13.96,Kilogram,ARQ,,
Germany,Cocaine-type,Cocaine salts,1,258.37,Kilogram,ARQ,,
Germany,Cocaine-type,Crack,0.5,Kilogram,ARQ,,
Greece,Cocaine-type,Coca leaf,0.25,Kilogram,ARQ,,
Greece,Cocaine-type,Cocaine salts,200.7,Kilogram,ARQ,,
Hungary,Cocaine-type,Cocaine salts,13.12,Kilogram,ARQ,,
Iceland,Cocaine-type,Cocaine salts,5,273,Gram,ARQ,,
Ireland,Cocaine-type,Cocaine salts,469,745,Gram,ARQ,,
Italy,Cocaine-type,Coca leaf,20,Leaf,ARQ,,
Italy,Cocaine-type,Coca paste/cocaine base (excl. crack),6.55,Kilogram,ARQ,,Coca paste
Italy,Cocaine-type,Cocaine salts,2,000,Millilitre,ARQ,,
Italy,Cocaine-type,Cocaine salts,5,319.32,Kilogram,ARQ,,
Italy,Cocaine-type,Crack,4.51,Kilogram,ARQ,,
Italy,Cocaine-type,Crack,47,Unit,ARQ,,
Latvia,Cocaine-type,Cocaine salts,1,077.79,Gram,ARQ,,
Liechtenstein,Cocaine-type,Cocaine salts,0.04,Kilogram,ARQ,,
Lithuania,Cocaine-type,Coca leaf,731,Gram,ARQ,,
Lithuania,Cocaine-type,Cocaine salts,120,Kilogram,ARQ,,
Luxembourg,Cocaine-type,Cocaine salts,24.44,Kilogram,ARQ,,
Malta,Cocaine-type,Cocaine salts,142.86,Kilogram,ARQ,,
Malta,Cocaine-type,Crack,8.7,Gram,ARQ,,
Netherlands,Cocaine-type,Cocaine salts,10,000,Kilogram,ARQ,,
Netherlands,Cocaine-type,Cocaine salts,2,570,Bullits,ARQ,,
Norway,Cocaine-type,Coca leaf,0.87,Kilogram,ARQ,,
Norway,Cocaine-type,Cocaine salts,47.55,Kilogram,ARQ,,
Poland,Cocaine-type,Cocaine salts,213.39,Kilogram,ARQ,,
Portugal,Cocaine-type,Coca leaf,2.68,Kilogram,ARQ,,
Portugal,Cocaine-type,Cocaine salts,100,Capsule,ARQ,,
Portugal,Cocaine-type,Cocaine salts,4,011.27,Kilogram,ARQ,,
Portugal,Cocaine-type,Crack,0.02,Kilogram,ARQ,,
Slovakia,Cocaine-type,Cocaine salts,1.75,Kilogram,ARQ,,
Slovenia,Cocaine-type,Cocaine salts,26.82,Kilogram,ARQ,,
Slovenia,Cocaine-type,Cocaine salts,2,Millilitre,ARQ,,
Spain,Cocaine-type,Coca leaf,31.65,Kilogram,ARQ,,
Spain,Cocaine-type,Coca paste/cocaine base (excl. crack),14.18,Kilogram,ARQ,,Coca paste
Spain,Cocaine-type,Cocaine salts,20,753.68,Kilogram,ARQ,,
Spain,Cocaine-type,Crack,0.5,Kilogram,ARQ,,
Sweden,Cocaine-type,Coca leaf,1.6,Kilogram,ARQ,,
Sweden,Cocaine-type,Cocaine salts,34.4,Kilogram,ARQ,,
Switzerland,Cocaine-type,Coca leaf,2.09,Kilogram,ARQ,,
Switzerland,Cocaine-type,Cocaine salts,249,Kilogram,ARQ,,
Switzerland,Cocaine-type,Cocaine salts,79,Dose,ARQ,,
Switzerland,Cocaine-type,Crack,0.02,Kilogram,ARQ,,
United Kingdom,Cocaine-type,Cocaine salts,3,324,Kilogram,OC2014,,
United Kingdom,Cocaine-type,Crack,47,Kilogram,OC2014,,
Australia,Cocaine-type,Coca leaf,14.56,Kilogram,ARQ,,
Australia,Cocaine-type,Cocaine salts,1,587,Kilogram,ARQ,,
New Zealand,Cocaine-type,Coca leaf,0.03,Kilogram,ARQ,,
New Zealand,Cocaine-type,Coca leaf,96,Unit,ARQ,,
New Zealand,Cocaine-type,Cocaine salts,16.3,Kilogram,ARQ,,
